CMDLINE /usr/bin/python class.py
MEM 1.367188 1515773899.0881
MEM 14.269531 1515773899.1884
MEM 14.785156 1515773899.2887
MEM 15.558594 1515773899.3890
MEM 16.332031 1515773899.4893
MEM 17.054688 1515773899.5895
MEM 17.558594 1515773899.6898
MEM 18.343750 1515773899.7901
MEM 19.109375 1515773899.8904
MEM 19.625000 1515773899.9907
MEM 20.398438 1515773900.0910
MEM 21.164062 1515773900.1913
MEM 21.984375 1515773900.2916
MEM 22.484375 1515773900.3919
MEM 23.242188 1515773900.4921
MEM 24.011719 1515773900.5925
MEM 24.527344 1515773900.6927
MEM 25.347656 1515773900.7930
MEM 25.347656 1515773900.8933
MEM 25.347656 1515773900.9936
MEM 25.347656 1515773901.0939
MEM 25.347656 1515773901.1942
MEM 25.347656 1515773901.2945
MEM 25.347656 1515773901.3947
MEM 25.347656 1515773901.4950
MEM 25.347656 1515773901.5953
MEM 25.347656 1515773901.6956
MEM 25.347656 1515773901.7959
MEM 25.347656 1515773901.8962
MEM 25.347656 1515773901.9965
MEM 25.347656 1515773902.0968
