CMDLINE /usr/bin/python heap.py
MEM 1.335938 1515784041.2748
MEM 15.746094 1515784041.3751
MEM 18.250000 1515784041.4755
MEM 18.113281 1515784041.5759
MEM 19.398438 1515784041.6764
MEM 19.398438 1515784041.7768
MEM 19.398438 1515784041.8773
MEM 19.398438 1515784041.9778
MEM 19.398438 1515784042.0782
MEM 19.398438 1515784042.1787
MEM 19.398438 1515784042.2792
MEM 19.398438 1515784042.3797
MEM 19.398438 1515784042.4801
MEM 19.398438 1515784042.5805
MEM 19.398438 1515784042.6809
MEM 18.730469 1515784042.7812
MEM 18.730469 1515784042.8817
MEM 18.730469 1515784042.9821
MEM 18.730469 1515784043.0826
MEM 18.730469 1515784043.1831
MEM 18.730469 1515784043.2836
MEM 18.730469 1515784043.3840
MEM 18.730469 1515784043.4845
MEM 18.730469 1515784043.5850
MEM 18.730469 1515784043.6854
MEM 18.730469 1515784043.7859
MEM 18.730469 1515784043.8862
MEM 18.421875 1515784043.9866
MEM 18.421875 1515784044.0870
MEM 18.421875 1515784044.1875
MEM 18.421875 1515784044.2880
MEM 18.421875 1515784044.3884
MEM 18.421875 1515784044.4889
MEM 18.421875 1515784044.5893
MEM 18.421875 1515784044.6897
MEM 18.421875 1515784044.7902
MEM 18.421875 1515784044.8907
MEM 18.421875 1515784044.9912
MEM 18.613281 1515784045.0915
MEM 19.640625 1515784045.1920
MEM 19.640625 1515784045.2924
MEM 19.640625 1515784045.3929
MEM 19.640625 1515784045.4934
MEM 19.640625 1515784045.5938
MEM 19.640625 1515784045.6942
MEM 19.640625 1515784045.7947
MEM 19.640625 1515784045.8952
MEM 19.640625 1515784045.9956
MEM 19.640625 1515784046.0960
MEM 19.640625 1515784046.1964
MEM 18.394531 1515784046.2968
MEM 18.203125 1515784046.3973
MEM 18.203125 1515784046.4977
MEM 18.203125 1515784046.5981
MEM 18.203125 1515784046.6986
MEM 18.203125 1515784046.7991
MEM 18.203125 1515784046.8996
MEM 18.203125 1515784047.0001
MEM 18.203125 1515784047.1005
MEM 18.203125 1515784047.2010
MEM 18.203125 1515784047.3015
MEM 19.488281 1515784047.4018
MEM 18.203125 1515784047.5023
MEM 18.203125 1515784047.6028
MEM 18.203125 1515784047.7032
MEM 18.203125 1515784047.8037
MEM 18.203125 1515784047.9041
MEM 18.203125 1515784048.0046
MEM 18.203125 1515784048.1050
MEM 18.203125 1515784048.2055
MEM 18.203125 1515784048.3060
MEM 18.203125 1515784048.4064
MEM 18.203125 1515784048.5069
MEM 18.394531 1515784048.6072
MEM 18.203125 1515784048.7077
MEM 18.203125 1515784048.8081
MEM 18.203125 1515784048.9085
MEM 18.203125 1515784049.0090
MEM 18.203125 1515784049.1095
MEM 18.203125 1515784049.2100
MEM 18.203125 1515784049.3104
MEM 18.203125 1515784049.4109
MEM 18.203125 1515784049.5114
MEM 18.203125 1515784049.6118
